session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_test,picture_file
Test,list4,28,Zelt_alt,Zelt,alt,63,LFP,SP,ncblock,building,Zelt_alt,zelt_alt.png
Test,list4,29,Hut_klein,Hut,klein,30,LFP,SN,ncblock,clothing,Hut_klein,hut_klein.png
Test,list4,30,Tasse_gross,Tasse,gross,52,HFP,SP,ncblock,tool,Tasse_gross,tasse_gross.png
Test,list4,31,Paket_alt,Paket,alt,42,LFP,SP,ncblock,etc,Paket_alt,paket_alt.png
Test,list4,32,Brot_neu,Brot,neu,11,LFP,SN,ncblock,food,Brot_neu,brot_neu.png
Test,list4,33,Zug_alt,Zug,alt,64,LFP,SP,ncblock,transportation,Zug_alt,zug_alt.png
Test,list4,34,Tisch_alt,Tisch,alt,54,LFP,SN,ncblock,furniture,Tisch_alt,tisch_alt.png
Test,list4,35,Brief_alt,Brief,alt,9,HFP,SP,ncblock,tool,Brief_alt,brief_alt.png
Test,list4,36,Hemd_klein,Hemd,klein,27,LFP,SP,ncblock,clothing,Hemd_klein,hemd_klein.png
Test,list4,37,Feder_gross,Feder,gross,20,LFP,SP,ncblock,etc,Feder_gross,feder_gross.png
Test,list4,38,Fabrik_gross,Fabrik,gross,18,HFP,SN,ncblock,building,Fabrik_gross,fabrik_gross.png
Test,list4,39,Kerze_alt,Kerze,alt,33,LFP,SP,ncblock,etc,Kerze_alt,kerze_alt.png
Test,list4,40,Bombe_klein,Bombe,klein,8,HFP,SP,ncblock,etc,Bombe_klein,bombe_klein.png
Test,list4,41,Mantel_alt,Mantel,alt,39,LFP,SN,ncblock,clothing,Mantel_alt,mantel_alt.png
Test,list4,42,Topf_gross,Topf,gross,56,HFP,SN,ncblock,tool,Topf_gross,topf_gross.png
Test,list4,43,Bett_gross,Bett,gross,4,HFP,SN,ncblock,furniture,Bett_gross,bett_gross.png
Test,list4,44,Geschenk_neu,Geschenk,neu,24,LFP,SP,ncblock,etc,Geschenk_neu,geschenk_neu.png
Test,list4,45,Bus_neu,Bus,neu,14,HFP,SN,ncblock,transportation,Bus_neu,bus_neu.png
Test,list4,46,Schale_klein,Schale,klein,49,HFP,SP,ncblock,tool,Schale_klein,schale_klein.png
Test,list4,47,Mauer_alt,Mauer,alt,40,HFP,SP,ncblock,building,Mauer_alt,mauer_alt.png
Test,list4,48,Kaffee_neu,Kaffee,neu,31,LFP,SP,ncblock,food,Kaffee_neu,kaffee_neu.png
Test,list4,49,Hose_klein,Hose,klein,29,LFP,SN,ncblock,clothing,Hose_klein,hose_klein.png
Test,list4,50,Krone_neu,Krone,neu,36,HFP,SN,ncblock,etc,Krone_neu,krone_neu.png
Test,list4,51,Turm_alt,Turm,alt,58,HFP,SP,ncblock,building,Turm_alt,turm_alt.png
Test,list4,52,Rad_neu,Rad,neu,46,HFP,SP,ncblock,etc,Rad_neu,rad_neu.png
Test,list4,53,Flagge_alt,Flagge,alt,21,LFP,SN,ncblock,etc,Flagge_alt,flagge_alt.png
Test,list4,54,Kleid_gross,Kleid,gross,35,LFP,SP,ncblock,clothing,Kleid_gross,kleid_gross.png
Test,list4,55,Uhr_gross,Uhr,gross,59,HFP,SN,ncblock,tool,Uhr_gross,uhr_gross.png
Test,list4,56,Palast_neu,Palast,neu,43,LFP,SP,ncblock,building,Palast_neu,palast_neu.png
Test,list4,57,Brille_klein,Brille,klein,10,LFP,SN,ncblock,etc,Brille_klein,brille_klein.png
Test,list4,58,Fahrrad_klein,Fahrrad,klein,19,LFP,SP,ncblock,transportation,Fahrrad_klein,fahrrad_klein.png
Test,list4,59,Wueste_gross,Wueste,gross,61,HFP,SP,ncblock,nature,Wueste_gross,wueste_gross.png
Test,list4,60,Herd_alt,Herd,alt,28,LFP,SN,ncblock,tool,Herd_alt,herd_alt.png
Test,list4,61,Nest_klein,Nest,klein,41,HFP,SN,ncblock,building,Nest_klein,nest_klein.png
Test,list4,62,Apfel_neu,Apfel,neu,1,LFP,SN,ncblock,food,Apfel_neu,apfel_neu.png
Test,list4,63,Flugzeug_neu,Flugzeug,neu,22,HFP,SN,ncblock,transportation,Flugzeug_neu,flugzeug_neu.png
Test,list4,64,Kamera_neu,Kamera,neu,32,HFP,SP,ncblock,tool,Kamera_neu,kamera_neu.png
Test,list4,65,Burg_alt,Burg,alt,13,HFP,SN,ncblock,building,Burg_alt,burg_alt.png
Test,list4,66,Zeitung_alt,Zeitung,alt,62,HFP,SN,ncblock,etc,Zeitung_alt,zeitung_alt.png
